,created_at_hour,cust_tid,favorite_count,has_profanity,in_business_hours,n_favorites,n_followers,n_following,n_hashtags,n_links,n_mentions,n_statuses,org_tid,protected,ratio_hashtags,ratio_numeric,ratio_user_mentions,responded_at_hour,responded_in,responded_in_bh,retweet_count,sentiment,source,tweet_length,user_age,verified
11451,19,977540704057593856,0,1,1,77028,3163,4377,0,0,1,125481,977542507818037248,0,0.0,0.021660649819494584,0.018050541516245487,19,430.0,0.0,0,0.8,Twitter for Android,277,214460681.0,0
11452,17,977521579176247296,0,1,1,341,59,485,0,0,1,679,977637278662189056,0,0.0,0.027491408934707903,0.048109965635738834,1,27585.0,0.0,0,0.8,Twitter for Android,291,218188272.0,0
11453,12,977444527089713153,0,1,1,341,59,485,0,0,1,679,977455121301999616,0,0.0,0.04316546762589928,0.10071942446043165,13,2526.0,0.0,0,0.8,Twitter for Android,139,218169901.0,0
11454,17,977511764194504704,0,1,1,547,99,115,0,0,1,629,977586177170649091,0,0.0,0.009433962264150943,0.1320754716981132,22,17741.0,0.0,0,0.8,Twitter for Android,106,112677387.0,0
11455,14,977471199289552896,0,1,1,547,99,115,0,0,1,629,977504813155004417,0,0.0,0.04,0.14,16,8014.0,0.0,0,0.8,Twitter for Android,100,112667716.0,0
11456,14,977466837834203136,0,1,1,547,99,115,0,0,1,629,977469970769641472,0,0.0,0.0,0.09701492537313433,14,747.0,0.0,0,0.8,Twitter for Android,134,112666676.0,0
11457,18,977524286385741825,0,1,1,13,30,90,0,0,1,6,977605701190193152,0,0.0,0.0,0.1891891891891892,23,19410.0,0.0,0,0.8,Twitter Lite,74,247995388.0,0
11458,14,977465187002404864,0,1,1,13,30,90,0,0,1,6,977478387311824896,0,0.0,0.0,0.16666666666666666,15,3147.0,0.0,0,0.8,Twitter Lite,84,247981297.0,0
11459,19,977541141678755841,0,1,1,0,0,0,0,0,1,3,977542557986099201,0,0.0,0.4,0.56,19,338.0,0.0,0,0.8,Twitter for Android,25,11057.0,0
11460,17,977508886281252865,0,1,1,858,327,2070,0,0,1,8412,977585987554594817,0,0.0,0.0,0.16666666666666666,22,18382.0,0.0,0,0.8,Twitter for Android,84,244420299.0,0
11461,17,977508156933783552,0,1,1,858,327,2070,0,0,1,8412,977508653581455361,0,0.0,0.0,0.7368421052631579,17,118.0,0.0,0,0.8,Twitter for Android,19,244420125.0,0
