,created_at_hour,cust_tid,favorite_count,has_profanity,in_business_hours,n_favorites,n_followers,n_following,n_hashtags,n_links,n_mentions,n_statuses,org_tid,protected,ratio_hashtags,ratio_numeric,ratio_user_mentions,responded_at_hour,responded_in,responded_in_bh,retweet_count,sentiment,source,tweet_length,user_age,verified
14997,14,999938434788614145,0,1,1,2,6,14,0,0,1,23,999938979456733185,0,0.0,0.06521739130434782,0.03260869565217391,14,130.0,130.0,0,0.8,Twitter for Android,276,138657835.0,0
14998,14,999937917970599936,0,1,1,7,1,6,0,0,1,72,999938158081949696,0,0.0,0.010416666666666666,0.08333333333333333,14,57.0,57.0,0,0.8,Twitter for Android,192,24936511.0,0
14999,12,999913108679278592,0,1,1,7,1,6,0,0,1,72,999918257589993472,0,0.0,0.0,0.1038961038961039,13,1227.0,1227.0,0,0.8,Twitter for Android,154,24930596.0,0
15000,13,999915645310455808,0,1,1,303,1212,764,1,0,3,15192,999916007140478977,0,0.02074688796680498,0.0954356846473029,0.17012448132780084,13,86.0,86.0,0,0.8,Twitter for Android,241,284579507.0,0
15001,11,999528062936080384,0,1,1,303,1212,764,0,0,1,15192,999528397792399360,0,0.0,0.0,0.0761904761904762,11,80.0,80.0,0,0.8,Twitter for Android,210,284487100.0,0
15002,11,998082807145549824,0,1,1,303,1212,764,0,0,1,15192,998083583196643328,0,0.0,0.14285714285714285,0.06766917293233082,11,185.0,0.0,0,0.8,Twitter for Android,133,284142524.0,0
15003,14,999936812339507202,0,1,1,1354,849,721,1,0,1,15113,999937066824744960,0,0.0718232044198895,0.022099447513812154,0.08839779005524862,14,61.0,61.0,0,0.8,Twitter Web Client,181,266448920.0,0
15004,18,999639590817452032,0,1,1,1354,849,721,0,0,1,15113,999640326225575936,0,0.0,0.0,0.27586206896551724,18,175.0,0.0,0,0.8,Twitter for iPhone,58,266378057.0,0
15005,7,999473413193371648,0,1,0,1354,849,721,0,0,1,15113,999473765359673344,0,0.0,0.0,0.43243243243243246,7,84.0,0.0,0,0.8,Twitter Web Client,37,266338437.0,0
15006,14,999216089530818561,0,1,1,1354,849,721,0,0,1,15113,999222856734003200,0,0.0,0.3,0.26666666666666666,15,1614.0,1614.0,0,0.8,Twitter Web Client,60,266277086.0,0
15007,15,999950889161928705,0,1,1,1,41,108,0,0,1,33,999957171977633798,0,0.0,0.08646616541353383,0.03383458646616541,15,1498.0,1498.0,0,0.8,Twitter Web Client,266,115660784.0,0
15008,15,999951424829116416,0,1,1,6,69,53,0,0,4,47,999957342216118272,0,0.0,0.015037593984962405,0.3007518796992481,15,1411.0,1411.0,0,0.8,Twitter Web Client,133,276117543.0,0
15009,10,999884012742098944,0,1,1,2,1,139,0,0,3,34,999900242655903747,0,0.0,0.0,0.4634146341463415,11,3869.0,3869.0,0,0.8,Twitter for Android,82,4059824.0,0
15010,14,999569781786382336,0,1,1,2,1,139,0,0,3,34,999582504196620288,0,0.0,0.0,0.4810126582278481,14,3034.0,3034.0,0,0.8,Twitter for Android,79,3984905.0,0
15011,16,999244204831395840,0,1,1,2,1,139,0,0,1,34,999259377826648064,0,0.0,0.0,0.2909090909090909,17,3617.0,1642.0,0,0.8,Twitter for Android,55,3907282.0,0
15012,8,999127919166476288,0,1,0,2,1,139,0,0,1,34,999128369978458112,0,0.0,0.0,0.4444444444444444,8,107.0,0.0,0,0.8,Twitter for Android,36,3879557.0,0
15013,20,998947664866791425,0,1,0,2,1,139,0,0,1,34,998956132965146624,0,0.0,0.0,0.4,21,2019.0,0.0,0,0.8,Twitter for Android,40,3836581.0,0
15014,10,998797730871902208,0,1,1,2,1,139,0,0,1,34,998797905547878400,0,0.0,0.23255813953488372,0.37209302325581395,10,42.0,42.0,0,0.8,Twitter for Android,43,3800834.0,0
15015,10,998797301660471297,0,1,1,2,1,139,0,0,1,34,998797467578548224,0,0.0,0.0,0.08695652173913043,10,39.0,39.0,0,0.8,Twitter for Android,115,3800732.0,0
15016,15,999949778631905280,0,1,1,7,1,6,0,0,1,72,999950552476729344,0,0.0,0.0,0.0653061224489796,15,184.0,184.0,0,0.8,Twitter for Android,245,24939339.0,0
15017,14,999937917970599936,0,1,1,7,1,6,0,0,1,72,999938158081949696,0,0.0,0.010416666666666666,0.08333333333333333,14,57.0,57.0,0,0.8,Twitter for Android,192,24936511.0,0
15018,12,999913108679278592,0,1,1,7,1,6,0,0,1,72,999918257589993472,0,0.0,0.0,0.1038961038961039,13,1227.0,1227.0,0,0.8,Twitter for Android,154,24930596.0,0
15019,15,999958203264716801,0,1,1,11,56,278,2,0,1,194,999958522753253377,0,0.1,0.0,0.06153846153846154,15,76.0,76.0,0,0.8,Twitter Web Client,260,252219215.0,0
15020,23,999716959406014464,0,1,0,11,56,278,2,0,2,194,999717282681995265,0,0.10952380952380952,0.02857142857142857,0.11904761904761904,23,77.0,0.0,0,0.8,Twitter Web Client,210,252161698.0,0
15021,15,999959500638572549,0,1,1,193,128,97,0,0,1,290,999963501442486272,0,0.0,0.0,0.11851851851851852,16,954.0,954.0,0,0.8,Twitter for Android,135,278638470.0,0
15022,15,999957579005444096,0,1,1,1,67,38,0,0,1,32,999958072779931648,0,0.0,0.0,0.35555555555555557,15,118.0,118.0,0,0.8,Twitter Web Client,45,260986891.0,0
15023,14,999934222344192002,0,1,1,1,67,38,0,1,3,32,999934397150187521,0,0.0,0.0,0.16055045871559634,14,41.0,41.0,0,0.8,Twitter Web Client,218,260981323.0,0
15024,12,999907650790805504,0,1,1,108,45,57,0,0,1,627,999907935210754050,0,0.0,0.0,0.1,12,68.0,68.0,0,0.8,Twitter for Android,160,272778468.0,0
15025,18,999641353519747072,0,1,1,108,45,57,0,0,1,627,999642003099959296,0,0.0,0.0,0.06639004149377593,18,155.0,0.0,0,0.8,Twitter for Android,241,272714978.0,0
15026,15,999591537196453888,0,1,1,108,45,57,0,0,1,627,999591964365406208,0,0.0,0.0,0.26229508196721313,15,102.0,102.0,0,0.8,Twitter for Android,61,272703101.0,0
15027,11,999524974913191936,0,1,1,108,45,57,0,0,3,627,999525125283168256,0,0.0,0.0,0.15413533834586465,11,36.0,36.0,0,0.8,Twitter for Android,266,272687231.0,0
15028,15,997053226829529089,0,1,1,108,45,57,0,0,1,627,997053294538145792,0,0.0,0.0,0.05521472392638037,15,16.0,16.0,0,0.8,Twitter for Android,163,272097921.0,0
